Level,LevelType,LevelArrangement,ScrewTypes,ScrewCapacities,ScrewPositions,NutTypes,NutColors
1,0,1,"1,1","4,4","0,0;0,2","1;1,1,1","2;2,2,2"
2,0,2,"1,1,1","4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;","10,2,10,2;2,10,2,10;"
3,0,34,"1,1,1,1,2","4,4,4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1","6,6,2,2;12,12,6,6;2,2,12,12"
4,0,30,"1,1,1,1,1,2","4,4,4,4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1","12,2,12,6;2,2,6,6;12,2,12,6"
5,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,5,6,5;2,12,12,12;2,12,5,5;8,8,6,6;2,8,8,6"
6,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,2,5;2,6,6,5;8,8,12,12;2,6,12,12;6,8,5,5"
7,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,6,5,8;5,8,11,11;2,12,2,12;12,12,2,2;6,6,8,5;8,5,11,11"
8,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,2,2,2;8,6,12,11;8,6,12,11;6,5,5,5;2,12,11,11;8,8,6,12"
9,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","10,12,11,12;2,10,2,2;11,11,12,11;5,8,5,10;12,2,6,10;6,6,5,6;8,5,8,8"
10,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","11,12,2,6;5,2,8,11;2,5,11,6;5,12,11,12;8,10,6,2;8,10,6,12;10,8,10,5"
11,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,6,6,12;12,5,8,8;5,11,2,2;6,8,12,6;5,8,11,2;5,11,2,11"
12,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,2,8,2;11,6,5,5;11,2,12,2;6,12,6,8;8,12,8,12;5,5,11,6"
13,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,6,5,5;11,5,2,12;2,12,2,12;6,8,6,8;11,11,12,8;11,5,2,8"
