Level,LevelType,LevelArrangement,ScrewTypes,ScrewCapacities,ScrewPositions,NutTypes,NutColors
1,0,1,"1,1","4,4","0,0;0,2","1;1,1,1","2;2,2,2"
2,0,2,"1,1,1","4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;","10,2,10,2;2,10,2,10;"
3,0,30,"1,1,1,1,1,2","4,4,4,4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1","2,8,6,2;2,8,6,6;8,6,2,8"
4,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,7,11,2;2,12,5,9;6,11,1,2;9,6,6,7;7,8,8,1;11,12,6,2;9,5,8,11;12,8,12,1;5,1,9,7"
5,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","6,7,6,11;1,5,2,6;7,8,1,5;8,1,12,9;12,8,2,11;8,12,7,1;11,6,11,9;5,9,9,2;2,7,5,12;"
6,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,11,11,8;7,6,2,9;2,7,1,1;6,9,11,9;2,9,6,11;8,1,1,7;8,6,2,7"
7,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,2,8,5;6,6,2,1;11,1,11,1;5,9,12,5;9,8,8,9;7,1,7,2;2,7,8,6;12,9,7,6;11,5,11,12"
8,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","7,8,7,11;5,7,11,2;2,12,5,9;8,12,6,9;1,8,6,9;12,5,6,1;6,5,9,2;7,2,8,12;1,11,1,11"
9,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,1,8,9;11,2,8,11;7,9,2,11;7,11,8,8;7,6,9,1;9,7,6,1;1,2,6,6"
10,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","12,2,11,1;11,11,5,1;7,8,1,6;12,5,9,9;9,8,2,12;8,6,2,8;1,9,5,7;12,6,6,7;2,5,7,11;"
