Level,LevelType,LevelArrangement,ScrewTypes,ScrewCapacities,ScrewPositions,NutTypes,NutColors
1,0,1,"1,1","4,4","0,0;0,2","1;1,1,1","2;2,2,2"
2,0,2,"1,1,1","4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;","10,2,10,2;2,10,2,10;"
3,0,4,"1,1,1,1,1,2","4,4,4,4,4,4","4,0;4,2;4,4;0,4","1,1,1,1;1,1,1,1;1,1,1,1;","4,4,10,10;10,10,9,4;4,9,9,9;"
4,0,34,"1,1,1,1,2","4,4,4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1","6,6,2,2;12,12,6,6;2,2,12,12"
5,0,30,"1,1,1,1,1,2","4,4,4,4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1","2,8,6,2;2,8,6,6;8,6,2,8"
6,0,4,"1,1,1,1,1,2","4,4,4,4,4,4","4,0;4,2;4,4;0,4","1,1,1,1;1,1,1,1;1,1,1,1;","10,9,10,9;4,10,9,4;4,4,10,9;"
7,0,30,"1,1,1,1,1,2","4,4,4,4,4,4","0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1","12,2,12,6;2,2,6,6;12,2,12,6"
8,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,7,11,2;2,12,5,9;6,11,1,2;9,6,6,7;7,8,8,1;11,12,6,2;9,5,8,11;12,8,12,1;5,1,9,7"
9,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","6,4,9,12;10,9,10,6;6,4,12,9;4,10,6,9;4,10,12,12"
10,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,5,6,5;2,12,12,12;2,12,5,5;8,8,6,6;2,8,8,6"
11,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","6,7,6,11;1,5,2,6;7,8,1,5;8,1,12,9;12,8,2,11;8,12,7,1;11,6,11,9;5,9,9,2;2,7,5,12;"
12,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,9,6,4;12,12,12,10;12,6,10,9;9,10,9,6;10,4,4,4"
13,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,2,5;2,6,6,5;8,8,12,12;2,6,12,12;6,8,5,5"
